執行年月日,選挙名,天候,有権者_男,有権者_女,有権者_計,投票者_男,投票者_女,投票者_計,投票率_男,投票率_女,投票率_平均
27.4.26（日）, 港区議会議員選挙, 晴, 83898, 99177, 183075, 30225, 35726, 65951, 36.03, 36.02, 36.02
28.6.12（日）, 港区長選挙, 曇, 85078, 101059, 186137, 20433, 24700, 45133, 24.02, 24.44, 24.25
28.7.10（日）, 参議院議員選挙, 曇, 89587, 105658, 195245, 48057, 54629, 102686, 53.64, 51.70, 52.59
28.7.31（日）, 東京都知事選挙, 曇時々晴, 88467, 104509, 192976, 49841, 60897, 110738, 56.34, 58.27, 57.38
29.7.2（日）, 東京都議会議員選挙, 曇, 88924, 105460, 194384, 40066, 46135, 86201, 45.06, 43.75, 44.35
29.10.22（日）, 衆議院議員選挙（1区）, 大雨, 76226, 92010, 168236, 41283, 47688, 88971, 54.16, 51.83, 52.88
29.10.22（日）, 衆議院議員選挙（2区）, 大雨, 15130, 16097, 31227, 7507, 7728, 15235, 49.62, 48.01, 48.79
31.4.21（日）, 港区議会議員選挙, 晴時々曇, 89326, 106009, 195335, 31439, 37654, 69093, 35.20, 35.52, 35.37
令元.7.21（日）, 参議院議員選挙, 曇一時雨, 93163, 109892, 203055, 46094, 51665, 97759, 49.48, 47.01, 48.14
2.6.7（日）, 港区長選挙, 晴, 90321, 106956, 197277, 26780, 32474, 59254, 29.65, 30.36, 30.04
2.7.5（日）, 東京都知事選挙, 雲後雨, 91977, 108567, 200544, 44340, 54577, 98917, 48.21, 50.27, 49.32
3.7.4（日）, 東京都議会議員選挙, 雨, 91537, 108152, 199689, 31493, 35960, 67453, 34.40, 33.25, 33.78
3.10.31（日）, 衆議院議員選挙（1区）, 曇後雨, 77413,93348, 170761, 43301, 50649, 93950, 55.94, 54.26, 55.02
3.10.31（日）, 衆議院議員選挙（2区）, 曇後雨, 16062,16935, 110464, 8266, 8555, 16821, 51.46, 54.90, 50.52
4.7.10（日）, 参議院議員選挙, 晴, 93739,110464, 204203, 51461, 60042, 111503,54.90, 54.35, 54.60
5.4.23（日）, 港区議会議員選挙, 晴, 90908, 107579, 198487, 33433, 40118, 73551, 36.78, 37.29, 37.06
